Sun Jan  9 16:40:04 2022    Face_Detector/Viola_and_jones/output.dat

         1207220 function calls (1206955 primitive calls) in 11.619 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      144    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\_weakrefset.py:52(_commit_removals)
       72    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:578(<genexpr>)
       96    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\_ni_support.py:35(_extend_mode_to_code)
      120    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\lib\stride_tricks.py:183(_broadcast_shape)
       48    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\numerictypes.py:232(obj2sctype)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      325    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
      144    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:136(disable_on_exception)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(empty_like)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\morphology.py:48(_center_is_true)
      144    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\lib\stride_tricks.py:204(broadcast_arrays)
       24    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(any)
       72    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\utils.py:88(__getattr__)
       24    0.000    0.000    0.038    0.002 <__array_function__ internals>:2(bincount)
       72    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
     26/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      181    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\tqdm\std.py:164(colour)
       24    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\scipy\ndimage\filters.py:294(<listcomp>)
       72    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\abc.py:96(__instancecheck__)
       12    0.000    0.000    0.000    0.000 {method 'isOpened' of 'cv2.VideoCapture' objects}
       24    0.000    0.000    0.011    0.000 D:\Anaconda\envs\pattern\lib\site-packages\skimage\_shared\utils.py:308(convert_to_float)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\numeric.py:1816(isscalar)
       12    0.000    0.000    0.000    0.000 D:\Anaconda\envs\pattern\lib\site-packages\skimage\util\dtype.py:57(_dtype_itemsize)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       48    0.000    0.000    0.001    0.000 D:\Anaconda\envs\pattern\lib\site-packages\numpy\core\_methods.py:45(_sum)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
